iter	Passed	Remaining
0	1	2055
1	2	2036
2	3	1955
3	5	1921
4	6	1964
5	7	1958
6	9	1927
7	10	1915
8	12	2036
9	13	2034
10	15	2064
11	16	2091
12	26	3045
13	28	3048
14	30	3007
15	31	2931
16	33	2883
17	34	2829
18	35	2777
19	36	2732
20	38	2707
21	39	2677
22	41	2639
23	43	2644
24	44	2624
25	45	2596
26	47	2572
27	48	2564
28	50	2563
29	52	2567
30	54	2572
31	55	2564
32	57	2539
33	58	2518
34	59	2498
35	61	2482
36	62	2468
37	63	2455
38	65	2455
39	67	2454
40	68	2441
41	69	2428
42	71	2412
43	72	2397
44	73	2381
45	75	2401
46	77	2396
47	79	2397
48	80	2389
49	82	2385
50	83	2385
51	85	2370
52	86	2363
53	88	2358
54	89	2346
55	91	2360
56	93	2359
57	94	2347
58	95	2338
59	97	2335
60	98	2324
61	100	2319
62	101	2313
63	103	2322
64	105	2320
65	106	2312
66	107	2302
67	109	2296
68	110	2289
69	111	2280
70	113	2279
71	115	2281
72	116	2276
73	117	2268
74	119	2262
75	120	2253
76	121	2243
77	122	2236
78	124	2233
79	125	2227
80	126	2218
81	128	2221
82	129	2219
83	131	2212
84	132	2208
85	133	2202
86	135	2198
87	136	2193
88	138	2188
89	139	2184
90	140	2178
91	141	2171
92	143	2163
93	144	2158
94	145	2154
95	146	2149
96	148	2148
97	150	2150
98	151	2145
99	152	2139
100	153	2132
101	155	2129
102	156	2124
103	157	2120
104	159	2116
105	160	2115
106	162	2113
107	163	2110
108	165	2109
109	166	2103
110	167	2098
111	169	2098
112	170	2095
113	172	2099
114	174	2101
115	175	2097
116	177	2092
117	178	2089
118	179	2087
119	181	2087
120	182	2083
121	185	2093
122	186	2091
123	188	2087
124	189	2087
125	191	2083
126	192	2083
127	194	2080
128	195	2076
129	197	2077
130	198	2077
131	200	2073
132	201	2069
133	202	2065
134	203	2062
135	205	2063
136	207	2062
137	208	2058
138	210	2060
139	211	2057
140	212	2052
141	214	2049
142	215	2047
143	216	2043
144	218	2040
145	219	2038
146	221	2042
147	223	2040
148	225	2042
149	227	2049
150	229	2047
151	231	2050
152	232	2048
153	233	2044
154	235	2046
155	237	2046
156	239	2049
157	241	2055
158	243	2051
159	244	2047
160	245	2045
161	247	2042
162	248	2038
163	249	2036
164	251	2035
165	252	2032
166	254	2029
167	255	2026
168	257	2024
169	258	2020
170	259	2016
171	260	2013
172	262	2015
173	264	2015
174	265	2013
175	267	2012
176	268	2008
177	270	2005
178	271	2003
179	272	2001
180	274	1999
181	275	1994
182	277	1997
183	279	2002
184	281	1998
185	282	1993
186	283	1990
187	284	1988
