iter	Passed	Remaining
0	109	109639
1	111	55420
2	112	37331
3	114	28435
4	115	23006
5	116	19372
6	118	16768
7	119	14821
8	120	13303
9	122	12098
10	123	11105
11	125	10299
12	126	9605
13	127	8999
14	129	8509
15	130	8044
16	132	7634
17	133	7267
18	134	6943
19	135	6657
20	137	6394
21	138	6163
22	139	5940
23	141	5736
24	142	5546
25	143	5388
26	145	5239
27	146	5090
28	147	4955
29	149	4825
30	150	4703
31	151	4590
32	153	4489
33	155	4407
34	156	4314
35	159	4277
36	161	4196
37	162	4114
38	163	4038
39	165	3965
40	166	3893
41	167	3829
42	169	3772
43	171	3722
44	172	3671
45	175	3638
46	176	3585
47	178	3536
48	179	3487
49	181	3439
50	182	3393
51	183	3353
52	185	3313
53	186	3271
54	188	3231
55	189	3198
56	191	3164
57	192	3128
58	193	3092
59	195	3056
60	196	3022
61	197	2994
62	199	2966
63	201	2947
64	202	2919
65	205	2911
66	207	2884
67	208	2859
68	210	2837
69	214	2844
70	216	2830
71	217	2809
72	219	2791
73	221	2769
74	222	2748
75	224	2726
76	226	2711
77	227	2689
78	228	2669
79	230	2651
80	233	2648
81	235	2638
82	236	2612
83	237	2592
84	239	2574
85	240	2554
86	241	2537
87	243	2520
88	244	2505
89	246	2493
90	247	2476
91	249	2464
92	251	2450
93	252	2436
94	261	2492
95	263	2479
96	264	2464
97	266	2452
98	267	2437
99	272	2453
100	273	2438
101	275	2423
102	276	2408
103	277	2393
104	279	2378
105	280	2367
106	282	2355
107	283	2341
108	285	2329
109	286	2317
110	287	2304
111	288	2290
112	290	2278
113	291	2266
114	293	2255
115	294	2244
116	296	2237
117	297	2226
118	299	2215
119	300	2205
120	302	2194
121	303	2183
122	304	2173
123	306	2163
124	307	2153
125	309	2143
126	310	2132
127	311	2124
128	313	2116
129	314	2107
130	316	2098
131	317	2090
132	319	2081
133	320	2072
134	322	2065
135	323	2056
136	326	2056
137	328	2048
138	329	2040
139	331	2033
140	332	2026
141	333	2014
142	334	2006
143	336	1998
144	337	1991
145	339	1983
146	341	1979
147	342	1972
148	344	1966
149	359	2039
150	361	2032
151	362	2024
152	364	2015
153	365	2007
154	366	1999
155	368	1992
156	369	1985
157	371	1977
158	372	1972
159	375	1973
160	376	1964
161	378	1956
162	379	1949
163	381	1942
164	382	1935
165	383	1929
166	385	1921
167	386	1914
168	388	1912
169	390	1906
170	391	1899
171	393	1892
172	394	1886
173	396	1881
174	398	1876
175	400	1876
176	403	1875
177	405	1870
178	406	1865
179	408	1860
180	409	1855
181	411	1849
182	413	1846
183	415	1841
184	416	1835
185	418	1831
186	420	1826
187	421	1821
188	423	1816
189	424	1810
190	426	1804
191	427	1799
192	429	1795
193	430	1790
194	433	1789
195	435	1786
196	437	1782
197	438	1776
198	440	1774
199	442	1769
200	443	1764
201	445	1760
202	447	1757
203	449	1753
204	451	1751
205	453	1747
206	454	1742
207	456	1737
208	457	1733
209	459	1729
210	461	1726
211	463	1723
212	465	1719
213	466	1714
214	468	1709
215	470	1706
216	471	1701
217	472	1696
218	474	1691
219	476	1690
220	480	1692
221	482	1689
222	483	1685
223	485	1681
224	486	1677
225	488	1673
226	491	1675
227	494	1673
228	496	1670
229	497	1666
230	499	1662
231	500	1657
232	502	1654
233	504	1651
234	505	1646
235	508	1644
236	511	1647
237	513	1643
238	514	1638
239	516	1635
240	518	1631
241	519	1627
242	522	1628
243	525	1628
244	527	1625
245	529	1621
246	530	1617
247	531	1613
248	533	1608
249	534	1604
250	536	1602
251	538	1599
252	541	1599
253	543	1596
254	545	1592
255	546	1588
256	547	1584
257	549	1580
258	551	1576
259	553	1574
260	556	1575
261	558	1572
262	560	1569
263	561	1566
264	563	1563
265	564	1558
266	566	1555
267	568	1553
268	571	1552
269	573	1550
270	575	1547
271	576	1543
272	578	1540
273	580	1537
274	582	1535
275	583	1531
276	587	1532
277	588	1528
278	590	1525
279	591	1521
280	593	1518
281	595	1515
282	596	1512
283	599	1511
284	601	1508
285	602	1505
286	604	1501
287	605	1497
288	607	1494
289	609	1491
290	610	1487
291	612	1484
292	615	1484
293	617	1482
294	620	1482
295	622	1480
296	624	1477
297	625	1474
298	627	1470
299	628	1466
300	630	1464
301	632	1461
302	633	1457
303	635	1453
304	636	1450
305	638	1447
306	640	1445
307	641	1441
308	643	1438
309	644	1434
310	646	1432
311	648	1430
312	650	1427
313	651	1424
314	653	1420
315	654	1417
316	656	1413
317	657	1410
318	659	1407
319	665	1414
320	666	1410
321	668	1407
322	669	1403
323	670	1399
324	672	1396
325	673	1393
326	681	1402
327	683	1400
328	685	1397
329	686	1394
330	688	1391
331	690	1388
332	695	1393
333	699	1393
334	701	1392
335	703	1390
336	705	1387
337	710	1390
338	711	1387
339	713	1384
340	714	1381
341	716	1378
342	718	1376
343	719	1372
344	721	1370
345	725	1371
346	726	1367
347	728	1364
348	729	1360
349	731	1357
350	732	1354
351	734	1352
352	735	1348
353	739	1349
354	741	1346
355	742	1343
356	744	1340
357	746	1338
358	747	1335
359	750	1333
360	751	1330
361	754	1329
362	756	1328
363	758	1325
364	760	1322
365	761	1319
366	762	1315
367	764	1312
368	765	1309
369	767	1306
370	770	1305
371	771	1303
372	773	1300
373	774	1296
374	776	1293
375	777	1290
376	778	1287
377	780	1283
378	781	1280
379	786	1282
380	787	1279
381	789	1277
382	790	1274
383	792	1271
384	793	1268
385	795	1265
386	797	1262
387	799	1260
388	801	1259
389	803	1256
390	804	1253
391	806	1250
392	807	1247
393	809	1244
394	810	1241
395	811	1238
396	814	1236
397	815	1233
398	817	1230
399	818	1227
400	819	1224
401	821	1221
402	822	1218
403	823	1215
404	825	1212
405	826	1209
406	828	1206
407	829	1204
408	831	1201
409	832	1198
410	834	1195
411	835	1192
412	837	1189
413	838	1186
414	839	1183
415	841	1180
416	842	1178
417	844	1175
418	846	1173
419	847	1170
420	848	1167
421	850	1164
